mol_id,InChIKey
TOX3021,OUZWUKMCLIBBOG-UHFFFAOYSA-N
TOX3020,SZQIFWWUIBRPBZ-UHFFFAOYSA-N
TOX3024,AOXRBFRFYPMWLR-XGXHKTLJSA-N
TOX3027,VTUSIVBDOCDNHS-UHFFFAOYSA-N
TOX20800,DBVJJBKOTRCVKF-UHFFFAOYSA-N
TOX5110,DMWVYCCGCQPJEA-UHFFFAOYSA-N
TOX6619,CSKNSYBAZOQPLR-UHFFFAOYSA-N
TOX25232,UOWZUVNAGUAEQC-UHFFFAOYSA-N
TOX22514,HEBKCHPVOIAQTA-SCDXWVJYSA-N
TOX22517,CHJMFFKHPHCQIJ-UHFFFAOYSA-L
TOX25236,BAWFJGJZGIEFAR-NNYOXOHSSA-N
TOX25238,XQFRJNBWHJMXHO-RRKCRQDMSA-N
TOX6612,RXGUIWHIADMCFC-UHFFFAOYSA-N
TOX6615,STVZJERGLQHEKB-UHFFFAOYSA-N
TOX15748,LDLCEGCJYSDJLX-UPHRSURJSA-N
TOX14833,PRPINYUDVPFIRX-UHFFFAOYSA-M
TOX26529,GZIZSEZACLNKGZ-UHFFFAOYSA-N
TOX26524,NCYVXEGFNDZQCU-UHFFFAOYSA-N
TOX26525,HDVRLUFGYQYLFJ-UHFFFAOYSA-N
TOX26526,XBLVHTDFJBKJLG-UHFFFAOYSA-N
TOX26521,YAMVZYRZAMBCED-UHFFFAOYSA-N
TOX26523,IWYDHOAUDWTVEP-SSDOTTSWSA-N
TOX4460,QPQKUYVSJWQSDY-CCEZHUSRSA-N
TOX22631,SVFXPTLYMIXFRX-XJKSGUPXSA-N
TOX22632,MNJNPLVXBISNSX-WDNDVIMCSA-N
TOX22633,GDLIGKIOYRNHDA-UHFFFAOYSA-N
TOX1883,TVDSBUOJIPERQY-UHFFFAOYSA-N
TOX4463,ZMCHBSMFKQYNKA-UHFFFAOYSA-N
TOX1885,SVTBMSDMJJWYQN-UHFFFAOYSA-N
TOX1886,QIJIUJYANDSEKG-UHFFFAOYSA-N
TOX1889,NTIZESTWPVYFNL-UHFFFAOYSA-N
TOX1888,XNLICIUVMPYHGG-UHFFFAOYSA-N
TOX4465,JWYUFVNJZUSCSM-UHFFFAOYSA-N
TOX1106,IZUPBVBPLAPZRR-UHFFFAOYSA-N
TOX161,ZUOUZKKEUPVFJK-UHFFFAOYSA-N
TOX22180,IDQHRQQSSQDLTR-UHFFFAOYSA-N
TOX22181,IGLVCWPPISIXPR-UHFFFAOYSA-N
TOX22187,KFFQABQEJATQAT-UHFFFAOYSA-N
TOX22188,AQSQFWLMFCKKMG-UHFFFAOYSA-N
TOX22189,OVSARSKQWCLSJT-UHFFFAOYSA-N
